Modell;Kosten;GLUE;SuperGLUE;SQuAD 2.0;RACE;Parameter
BERT-small;768.00;0.29;;;;29,000,000.00
BERT-base;3,072.00;0.07;0.22;;0.18;110,000,000.00
BERT-large;12,288.00;;;1.00;0.04;340,000,000.00
DeBERTa-base;38,093.00;;;0.25;;134,000,000.00
DeBERTa-large;114,278.00;;;0.00;0.00;169,000,000.00
DeBERTa-1.5Mrd;457,114.00;;0.00;;;1,500,000,000.00
RoBERTa;60,948.00;0.00;0.01;0.11;0.01;355,000,000.00
Bort;714.00;0.35;1.00;;1.00;39,000,000,000.00
ALBERT-xxlarge;32,768.00;;;0.32;0.02;235,000,000.00
ELECTRA-small;238.00;1.00;;;;14,000,000.00
ELECTRA-base;12,288.00;0.02;;;;110,000,000.00
XLNet;61,440.00;;;0.11;0.01;110,000,000.00
